cb_id,cb_person_default_on_file,cb_person_cred_hist_length,person_id,loan_id,cb_id
dDoO2g97-yxWH,N,2,bLi18O5K-31eI,HpY5JrYs-x2bv,dDoO2g97-yxWH
tnMfN0C9-fLm4,N,3,pyds3XGU-7RRS,ISD4mFw4-GnYT,tnMfN0C9-fLm4
2bLyWdhh-Nc4i,Y,2,IBHc9bNo-muIb,jSmQJckJ-sz2g,2bLyWdhh-Nc4i
mCZ437B8-XUMx,N,4,qGi9BLxD-1KQM,iv3ufRwM-Fppi,mCZ437B8-XUMx
8SelGHyw-9ksb,N,5,g4JfbgOc-WHOB,8Qhsx0cn-hx45,8SelGHyw-9ksb
wM9fyST7-wu97,N,3,MB59rWQz-yWLu,02B5rBQG-mjhr,wM9fyST7-wu97
cw5145g2-ZtgH,N,3,iBcQHBr1-evAX,UdC9djGi-IYLl,cw5145g2-ZtgH
7DJD7Uxd-8G4p,N,10,3thgc3J0-pK4m,pQWGYPuJ-h0M6,7DJD7Uxd-8G4p
4v52wf4p-YxKe,N,11,dlaoaf5M-6FGb,hHZwZCWH-2wFz,4v52wf4p-YxKe
uuDw52Al-ozCJ,N,3,FYP0K2KK-JiQ0,1rNrIekt-uAZv,uuDw52Al-ozCJ
PTHgNlLP-XvtB,N,2,xZjlTQmr-sX7I,0DEl6qTs-hfiQ,PTHgNlLP-XvtB
bixAJrUN-C9pN,N,4,inyC7zhB-W6me,PlRNPwkd-G0CY,bixAJrUN-C9pN
xgEmLOka-o5zX,Y,4,tYYSMDPW-jrAJ,SDTBNNnE-nHvx,xgEmLOka-o5zX
GvqL52S8-S8OH,N,2,J3jGNZeh-OzZE,NaelpPC5-t2kz,GvqL52S8-S8OH
6T2jXh5j-CEQA,N,6,HJ3m9vRs-v2ea,mI7haz1C-28yO,6T2jXh5j-CEQA
ByZh0KwP-8j4c,Y,2,YjQloiOK-WUiI,lSOv8uJh-NEBn,ByZh0KwP-8j4c
u0KE1FJ7-gAEQ,N,2,QCrl3MTd-8H85,Dy72mlJI-6TUS,u0KE1FJ7-gAEQ
9NIIaDks-3MM3,N,10,Y5BPjLqA-JPnu,AReULqFq-J1iA,9NIIaDks-3MM3
lswq23Ne-M6Wg,N,2,01nbSq5W-xWRq,NFSGLMcu-Thyb,lswq23Ne-M6Wg
jCsKD2jl-kWuQ,N,5,Qlxd2JHS-SznC,KbaYnLW6-dsLj,jCsKD2jl-kWuQ
tbg8X1l2-G8X7,N,8,PwcmcBmt-Jcc0,dxjxBnHs-C5Mh,tbg8X1l2-G8X7
JBSnaQ5c-FyTs,Y,3,M7v6eyLG-26D0,IOMkIRcN-wXBu,JBSnaQ5c-FyTs
hFbWq4n3-apwY,N,4,xeGzO7rS-Wvsm,COm1ZqJg-cLAH,hFbWq4n3-apwY
D9wblpCD-LFdK,Y,2,u6uTcHQC-Esk5,76Z3TmEm-4lZW,D9wblpCD-LFdK
4dJRRxN0-GpM1,N,9,CDxOUhEu-b3QW,0jOIrGr7-3mIy,4dJRRxN0-GpM1
qKWmsWvD-X1y1,N,4,asPXbSe1-Zfyo,OgjqhMsS-slJh,qKWmsWvD-X1y1
v4ssLH7I-Gs7Y,N,10,zw1G3FLG-tku4,ZhWghdc1-PsrE,v4ssLH7I-Gs7Y
OWpqlTfj-B7BP,N,8,pbrxxYCT-azkQ,Ocg8CEfd-dYA4,OWpqlTfj-B7BP
gngDxDmO-YH6A,N,6,rz6KYxBX-SCcJ,rexKO1Fs-lZn3,gngDxDmO-YH6A
PZmpaKE7-prkt,Y,2,6BKozML1-JBgc,cnSdaZp5-qB19,PZmpaKE7-prkt
vbDpZoUy-vNKv,N,8,DYMCwJ0x-NvuU,ldaWvgbI-4GX1,vbDpZoUy-vNKv
AdOENXTy-Eadr,N,2,yasxIlaa-YCmg,HR6nsT7N-J83i,AdOENXTy-Eadr
aaFLrN54-aUvD,N,6,YZ0rFmHb-3Gs9,ZgEKnPs1-88ch,aaFLrN54-aUvD
mxGPSJ9d-ra71,Y,2,cqGpJcpX-d7lK,K1vWZGQ2-T6Jp,mxGPSJ9d-ra71
YADGGBtR-ioML,N,2,iBDOeyCd-kjM3,ddzuFmZM-O8Dl,YADGGBtR-ioML
u9GpMjFW-Dzsa,N,2,U3tpPaOA-3FDc,noLRxHpz-ZtJr,u9GpMjFW-Dzsa
