id_cliente,idade,salario,tipo_imovel,tempo_trabalhando,id_emprestimo,motivo_emprestimo,grupo,valor_emprestimo,juros,RISCO_INADIMPLENCIA,emp_sal,id_historico,INADIMPLENCIA,tempo_cliente
AspC7qDK-5Esh,21,60000,Rent,2,kZHfWgGv-0dWJ,Education,B,8000,11.26,0,0.13,UwfbzeaW-9tQt,N,3
2NjYU2iT-fGSm,40,70000,Mortgage,6,j7elJxsY-eTEQ,Education,A,18000,7.9,0,0.26,viRQ2WYn-yJ2G,N,14
nTOKgZCT-YPUD,29,115000,Mortgage,3,t9dKvc6a-4eAL,Medical,C,22000,15.23,0,0.19,IEHObaim-KPC9,Y,7
J3jGNZeh-OzZE,26,84996,Rent,0,NaelpPC5-t2kz,Medical,B,9000,11.26,0,0.11,GvqL52S8-S8OH,N,2
OQXEoNPl-hL0f,23,24000,Own,7,QxdBboWP-KKFh,Education,A,5000,7.49,0,0.21,Ue0IMCKa-d0AQ,N,2
GiP48I8v-4QMo,27,56253,Rent,11,uYH6bhrT-ewlf,Venture,B,10000,11.36,0,0.18,ZSKhw1Wq-Grfc,N,8
rz6KYxBX-SCcJ,32,19200,Rent,0,rexKO1Fs-lZn3,Venture,B,5000,9.99,1,0.26,gngDxDmO-YH6A,N,6
IJKlCu5g-hK22,24,18000,Own,0,Ki2Rr7Di-8Is1,Homeimprovement,A,6250,6.54,1,0.35,b8bJFyze-0WBF,N,4
mpfjpS76-GpMH,23,80000,Rent,6,U3GtqMpT-D0SF,Venture,A,6500,7.51,0,0.08,lusooYZf-PCbH,N,3
TgE5b4GO-Dt74,24,145000,Mortgage,0,BH1pq4aj-trt0,Personal,B,7000,10.99,0,0.05,oUk9piHQ-eXRY,N,2
K58ydOiW-a2I3,30,36000,Rent,6,sxSX7s1R-Wo1r,Debtconsolidation,C,4500,13.49,0,0.13,o65QapOc-tR0Z,Y,6
4lYeiWLm-P0QY,22,40000,Rent,6,UFYAZiMe-d1Lo,Education,D,7200,17.58,0,0.18,jqGfQoOO-HquX,Y,2
l1Q6uewq-icSh,24,103000,Mortgage,8,nzYZR2uU-JhcK,Personal,B,8000,10.74,0,0.08,Z6Q1EgJd-Mcdi,N,3
SAEUImFs-iXAT,35,50000,Mortgage,5,6bKNACAB-up1b,Homeimprovement,C,6000,13.49,0,0.12,45kngxnO-kwyt,N,6
GF79eYM4-xcMP,22,32000,Rent,1,UJDU4wt1-yGWW,Education,D,5400,16.29,1,0.17,DOMft98J-Z3qm,Y,2
