id_cliente,id_emprestimo,id_historico,tipo_imovel,motivo_emprestimo,grupo,idade,salario,tempo_trabalhando,valor_emprestimo,juros,emp_sal,tempo_cliente,INADIMPLENCIA,RISCO_INADIMPLENCIA
AspC7qDK-5Esh,kZHfWgGv-0dWJ,UwfbzeaW-9tQt,alugado,ensino,B,21,60000,2,8000,11.26,0.13,3,0.0,0
2NjYU2iT-fGSm,j7elJxsY-eTEQ,viRQ2WYn-yJ2G,financiado,ensino,A,40,70000,6,18000,7.9,0.26,14,0.0,0
nTOKgZCT-YPUD,t9dKvc6a-4eAL,IEHObaim-KPC9,financiado,saude,C,29,115000,3,22000,15.23,0.19,7,1.0,0
J3jGNZeh-OzZE,NaelpPC5-t2kz,GvqL52S8-S8OH,alugado,saude,B,26,84996,0,9000,11.26,0.11,2,0.0,0
OQXEoNPl-hL0f,QxdBboWP-KKFh,Ue0IMCKa-d0AQ,proprio,ensino,A,23,24000,7,5000,7.49,0.21,2,0.0,0
GiP48I8v-4QMo,uYH6bhrT-ewlf,ZSKhw1Wq-Grfc,alugado,risco,B,27,56253,11,10000,11.36,0.18,8,0.0,0
rz6KYxBX-SCcJ,rexKO1Fs-lZn3,gngDxDmO-YH6A,alugado,risco,B,32,19200,0,5000,9.99,0.26,6,0.0,1
IJKlCu5g-hK22,Ki2Rr7Di-8Is1,b8bJFyze-0WBF,proprio,reforma,A,24,18000,0,6250,6.54,0.35,4,0.0,1
mpfjpS76-GpMH,U3GtqMpT-D0SF,lusooYZf-PCbH,alugado,risco,A,23,80000,6,6500,7.51,0.08,3,0.0,0
TgE5b4GO-Dt74,BH1pq4aj-trt0,oUk9piHQ-eXRY,financiado,pessoal,B,24,145000,0,7000,10.99,0.05,2,0.0,0
K58ydOiW-a2I3,sxSX7s1R-Wo1r,o65QapOc-tR0Z,alugado,quitar,C,30,36000,6,4500,13.49,0.13,6,1.0,0
4lYeiWLm-P0QY,UFYAZiMe-d1Lo,jqGfQoOO-HquX,alugado,ensino,D,22,40000,6,7200,17.58,0.18,2,1.0,0
l1Q6uewq-icSh,nzYZR2uU-JhcK,Z6Q1EgJd-Mcdi,financiado,pessoal,B,24,103000,8,8000,10.74,0.08,3,0.0,0
SAEUImFs-iXAT,6bKNACAB-up1b,45kngxnO-kwyt,financiado,reforma,C,35,50000,5,6000,13.49,0.12,6,0.0,0
GF79eYM4-xcMP,UJDU4wt1-yGWW,DOMft98J-Z3qm,alugado,ensino,D,22,32000,1,5400,16.29,0.17,2,1.0,1
dejgBgka-cvSN,Y7yIUHWQ-138k,WNto6491-J99J,proprio,saude,D,25,12996,1,3600,14.59,0.28,3,0.0,1
pB5tO95i-S3K9,EXrxXz9O-HOTs,A4YTvklP-hZTH,alugado,quitar,C,32,48000,3,9000,13.99,0.19,8,0.0,0
8AYaI8lG-eovU,jAAgFdfl-6Y7e,5s9U5yce-1d0J,financiado,pessoal,A,30,57000,6,4000,8.0,0.07,7,0.0,0
OkOjGYdY-cbh2,MGhhCMif-2t4J,3xNzMDQK-vFI3,alugado,risco,C,42,85000,3,5750,12.99,0.07,15,1.0,0
Wdeij694-MIlJ,zOSvqZWR-sqDX,YPC9Xmbt-8bUq,financiado,ensino,B,29,120000,3,20000,11.71,0.17,5,0.0,0
SnPZ9sS7-m50a,aMoqyZ6H-soNo,6A9m9HOG-1ZuR,financiado,risco,A,24,25000,3,9000,7.14,0.36,4,0.0,0
ERBmpIPN-lMaW,5XRNp8To-RvH8,Cic79wRE-9nWL,alugado,quitar,B,24,28500,3,2500,11.36,0.09,4,0.0,0
ER2fcnk6-XhNN,P6kekLZk-o2vx,zumQqjxf-0gct,financiado,risco,B,22,80000,5,9500,11.71,0.12,3,0.0,0
F3ZPAIUX-FkIM,hDW1Xe27-WuzF,Bw3siA6F-Uqzz,alugado,ensino,D,31,30000,0,6600,16.49,0.22,8,1.0,1
QO0MxJ5C-J0Qj,9QA7jdmD-WbIq,GTYNk7NY-DMUO,alugado,saude,A,21,30000,2,4150,6.76,0.14,3,0.0,0
imn9ic93-oSMp,eH8Odfuj-RT5T,TfaAaHAR-4gI0,financiado,reforma,D,31,48996,0,8500,14.11,0.17,9,1.0,1
oiqjo4kK-2ieZ,npEeneRK-zG8l,r8GH3oaq-pSQp,alugado,ensino,C,26,58000,10,9600,13.99,0.17,4,1.0,0
AaDuh9Ug-p1By,681AjXXg-yUw5,P9shydKC-WLnl,financiado,saude,B,25,191000,1,10000,12.53,0.05,4,0.0,0
tc2gzUJ2-Dh1s,RhTgN0QY-C23h,s5Z6MPWk-5xgq,financiado,risco,A,31,135000,9,10000,7.14,0.07,6,0.0,0
JlUHLUZA-rfPy,woPqremP-ROOh,kXb3MoC4-CC80,financiado,ensino,A,24,64000,8,5000,7.88,0.08,4,0.0,1
dPSBQjgo-4roa,kFnTCjaM-Eii5,0ELENYRH-lpjN,financiado,ensino,B,26,90000,0,6000,9.91,0.07,3,0.0,0
PKTQBXKt-OXPB,NBgultND-bFl2,i395QUYN-5Xhf,financiado,ensino,A,25,110000,7,8000,7.14,0.07,4,0.0,0
bQv6mUQ9-3Mbf,5x0t61fW-ghYo,gOqEuvYZ-T1za,financiado,ensino,C,39,60000,1,17000,14.65,0.28,14,1.0,0
vX0220AL-N1Xc,2OuPu8qh-deSt,KSWNLJ5O-9B30,alugado,quitar,B,28,48000,5,15000,11.99,0.31,10,0.0,1
DwRsBiGO-lo06,e4SAwL8Q-7lT7,7KJaotAU-2GrE,alugado,risco,A,36,31000,3,7100,8.9,0.23,12,0.0,0
TJvond5k-OZsJ,Sq9jFOjZ-nd4A,LOrdD3hM-coOU,financiado,ensino,C,22,96000,3,11400,13.04,0.12,2,1.0,0
BYmg43Fi-Mvaj,i536G5cd-egh3,M2sgMabi-q39B,alugado,ensino,D,21,40000,3,7000,14.46,0.17,3,0.0,0
42LtRtXE-rL0e,tpdTSCpY-Kz7M,ISauZKeR-H4iW,alugado,saude,C,25,56950,9,5000,13.92,0.07,4,0.0,1
LmwskARR-HyA3,0YpSbTgj-CZKT,j3jnnG3T-iF3N,alugado,risco,C,21,41900,2,16000,12.84,0.38,2,1.0,1
4zf4iTpX-Ju8u,eEisjK1m-T4wm,YaMTpkN1-NQCk,proprio,reforma,B,29,101000,6,12000,12.18,0.12,8,0.0,0
8Fbppelu-eKnR,W3QjfBO2-jmhO,S9zMallF-rruw,alugado,pessoal,A,23,42000,4,10000,5.42,0.24,3,0.0,0
7K2Y0gam-BFAD,AFRsOe1g-ZMCv,DywZmbUm-P5Jj,financiado,saude,B,31,215000,2,15000,10.99,0.07,10,0.0,0
hRO9kOL5-Y29L,qBv7Ad3u-unNs,J7M98CyW-tebW,financiado,risco,A,26,65000,11,12000,7.9,0.18,2,0.0,0
KI4650uQ-ACBq,zocNNpx5-2jSB,hOqbstIi-ruOB,financiado,ensino,A,24,111239,1,14000,7.9,0.13,4,0.0,0
zAGYhdqJ-pD7D,4cXZj28b-TIKj,4pfUPfsE-8Ltp,alugado,saude,A,30,43000,1,3200,8.0,0.07,5,0.0,0
RJRYhR8z-Lq2G,lklKeiRj-ugSo,NGJInTnJ-WbA5,financiado,quitar,B,21,68004,5,16000,11.26,0.24,3,0.0,0
NGFGiGBt-qzAR,nAcEqf1T-TwJv,2C0wGh9W-akJo,alugado,saude,B,25,25000,5,9000,11.49,0.36,2,0.0,1
juwMpikI-PHjn,0ae6R2mT-ZRFL,SibJdNKl-Uz6I,proprio,risco,B,36,40000,4,14000,10.99,0.35,16,0.0,0
yqR4vYfF-k8B1,9xQKOhnz-LrpZ,JoCZcfDw-wRPD,financiado,saude,B,24,55000,8,15000,9.91,0.27,3,0.0,0
W9xNZtvO-qLBS,YRkJSwLT-uBQK,YIIUhXxw-O8If,financiado,quitar,A,21,52000,5,13250,5.99,0.25,2,0.0,0
noXp5ZzA-7kbv,MHm6RLEs-ml59,zsgGPSlg-GAvl,proprio,saude,B,29,50000,3,4200,9.91,0.08,6,0.0,0
RYzaKgT3-rCwx,BldAdx3r-PA8T,ASkICWNk-c9NY,alugado,quitar,A,29,35000,12,1800,5.42,0.05,7,0.0,0
xnzIpFAr-XXwH,TzCPj24J-ca8m,UQob4enS-T6vi,financiado,reforma,A,38,104800,6,14000,6.03,0.13,11,0.0,0
vM7jxZHX-hPQf,XJDd9tQg-onCB,jvXpnOTv-W8gD,alugado,quitar,A,29,32997,7,10000,5.79,0.3,7,0.0,0
uhoTm6sf-eMyr,BPwQZxLO-2wg2,vCjDmWK7-XB2N,alugado,ensino,D,24,33996,2,5000,14.96,0.15,4,1.0,1
N3vLp5HW-vITL,QsvUYivH-K8iH,OuqQBhde-wnex,proprio,risco,A,22,24000,1,8000,7.51,0.33,3,0.0,0
GxkkXb9k-vw0u,EAHTXplH-ZFxc,zmXGtrac-CkdJ,financiado,pessoal,B,40,150000,5,12000,10.37,0.08,15,0.0,0
