id_cliente,id_emprestimo,id_historico,idade_cliente,salario_cliente,tipo_propriedade,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros,salario_emprestimo,tempo_como_cliente,INADIMPLENTE,POSSIBILIDADE_INADIMPLENCIA
tad8vkTn-vp4l,NMgFWFWN-2yGG,ZNWGR0Ap-FDt2,33.0,48000.0,alugado,17.0,reforma,C,20000.0,13.22,0.22,9.0,0,0.0
dEILQqp2-lgLx,08Ts3XSa-KkvE,wqALDH4x-mnzE,24.0,75000.0,proprio,0.0,risco,C,6000.0,13.49,0.04,7.0,0,0.0
Az11sWWw-SdFA,xo79pAME-elmp,57O09sJw-NBKj,29.0,28800.0,alugado,5.0,pessoal,A,8000.0,6.17,0.13,6.0,0,0.0
YDovEwBH-0eek,IB6lBS2h-nWhz,pH50QiTJ-0jqz,23.0,75000.0,financiado,7.0,reforma,B,9600.0,10.08,0.16,10.0,1,0.0
lNsbfwlP-gzOE,CONLtJHn-1yde,3voX5CIK-tCxE,26.0,35000.0,alugado,0.0,saude,A,6500.0,8.49,0.3,12.0,0,0.0
j6Jtq4Kl-crSn,uIe8aQoy-hIqe,nI6PMQ1T-rzEI,32.0,19200.0,alugado,0.0,pessoal,A,2000.0,6.91,0.03,3.0,0,0.0
uwZpWJIF-tWPK,W72bsmMT-dIx2,hxjp46wv-KiER,42.0,65000.0,financiado,0.0,quitar,C,20000.0,13.57,0.22,4.0,0,0.0
gQe3njpm-O4Lq,wYjZFJq9-2LYE,b1ZgHsW8-n5b8,23.0,37500.0,alugado,2.0,risco,A,2500.0,5.99,0.03,3.0,0,0.0
Iu5a6umc-FOTz,hbKlikzO-ZgOB,EFvG2rYd-x903,27.0,30000.0,alugado,0.0,risco,A,9000.0,6.99,0.25,17.0,0,0.0
HeqxfhiM-HNxK,vZLO042S-4bTF,pHBJGUnU-0zot,23.0,22800.0,alugado,0.0,pessoal,D,25000.0,15.21,0.37,4.0,0,1.0
3CU8TSyD-BuJb,lUTwykiO-Qf79,dDoO2g97-yxWH,21.0,28000.0,proprio,3.0,quitar,B,12400.0,10.65,0.3,2.0,0,0.0
bT0F3oPe-pFgR,x5vU1QNy-Ef7b,Rdr5mdtQ-6a9h,41.0,33150.0,alugado,5.0,pessoal,B,25000.0,9.91,0.41,3.0,0,1.0
pNnqq0Ql-mXDg,DOEx7Dov-cakY,U4IiEqe5-uRWj,22.0,51000.0,alugado,6.0,risco,B,4500.0,9.88,0.14,8.0,0,0.0
itjcFMBi-gz9P,MkD1gc0r-W5Xj,rnLDYnji-DQ15,28.0,68000.0,alugado,4.0,quitar,A,15000.0,9.63,0.26,3.0,0,0.0
6OY182uN-lcQM,KmRI7NrG-JUxU,wEcSrYZA-ITPp,48.0,70000.0,financiado,2.0,pessoal,D,25000.0,16.32,0.21,5.0,0,0.0
4K7C1WYI-fy2y,FTSYhrp6-4adX,SYdgxsrg-WLfu,22.0,60000.0,alugado,3.0,pessoal,B,10000.0,10.0,0.13,4.0,1,0.0
WvikzddB-Fzo8,JvkTGpaD-ra8i,tnMfN0C9-fLm4,23.0,85000.0,alugado,2.0,reforma,A,15000.0,5.99,0.07,3.0,0,0.0
