person_id,person_age,person_income,person_home_ownership,person_emp_length,person_id
004wNQ39-TsQu,33,42000,Rent,4,004wNQ39-TsQu
007o7Z4z-DX1c,24,113000,Mortgage,5,007o7Z4z-DX1c
00XP05XD-58XF,33,63996,Rent,4,00XP05XD-58XF
01aOoe5m-MKqu,27,24000,Rent,0,01aOoe5m-MKqu
01Ih63oD-gO7p,24,75000,Rent,6,01Ih63oD-gO7p
01mYIc8o-5SsX,22,45000,Rent,3,01mYIc8o-5SsX
01nbSq5W-xWRq,25,125000,Own,9,01nbSq5W-xWRq
01qJj2YZ-ZoWg,24,36000,Mortgage,8,01qJj2YZ-ZoWg
0292naTF-ucWE,23,33990,Mortgage,2,0292naTF-ucWE
02gjGL3N-jyLr,31,30000,Rent,5,02gjGL3N-jyLr
02PcyCJa-RwiI,22,60000,Mortgage,1,02PcyCJa-RwiI
02PzytOC-bKre,27,69996,Rent,1,02PzytOC-bKre
02x9biGh-3gTR,23,68000,Rent,1,02x9biGh-3gTR
02Xp1CEj-L5No,27,70000,Mortgage,11,02Xp1CEj-L5No
035BR3xf-elRK,22,26000,Own,2,035BR3xf-elRK
03c5vbkb-p8u5,25,70000,Rent,2,03c5vbkb-p8u5
03dxIafi-8oix,22,90000,Mortgage,6,03dxIafi-8oix
03gQN1Nm-6qQ7,29,65000,Mortgage,13,03gQN1Nm-6qQ7
03NW1kqM-wpeJ,27,49200,Mortgage,2,03NW1kqM-wpeJ
04039kHJ-uCxY,24,30000,Rent,5,04039kHJ-uCxY
047HzPzb-NBkZ,NULL,100000,Mortgage,NULL,047HzPzb-NBkZ
05AU2u3q-jNEJ,25,45000,Rent,0,05AU2u3q-jNEJ
05GKSiRx-QtfS,24,42000,Rent,8,05GKSiRx-QtfS
05Gq7adU-tlfE,23,51000,Mortgage,5,05Gq7adU-tlfE
05o7RxO7-9LhQ,23,65000,Rent,2,05o7RxO7-9LhQ
05Zoymdh-rP3B,25,100000,Mortgage,6,05Zoymdh-rP3B
069gPqWu-n3wl,28,48000,Rent,0,069gPqWu-n3wl
06Nv331q-J1jv,51,667680,Mortgage,19,06Nv331q-J1jv
06OeH5Z1-h0tr,24,205000,Mortgage,2,06OeH5Z1-h0tr
070GIuX8-rAfi,25,75996,Mortgage,9,070GIuX8-rAfi
07d90bS9-6N4Z,25,23198,Rent,2,07d90bS9-6N4Z
08EPOgO6-dLPL,25,89016,Mortgage,9,08EPOgO6-dLPL
08FPp5Dj-X89p,22,72000,Mortgage,7,08FPp5Dj-X89p
08iwXXZl-5U5x,22,14400,Own,0,08iwXXZl-5U5x
08rX5Qdc-ufb0,23,45312,Rent,3,08rX5Qdc-ufb0
09gdhdqR-kiFy,25,45000,Own,5,09gdhdqR-kiFy
09gktGmC-H2HQ,23,45000,Rent,7,09gktGmC-H2HQ
09mgpMgg-5fif,25,66800,Mortgage,3,09mgpMgg-5fif
0a9q5Jgt-IDCS,30,47581,Rent,2,0a9q5Jgt-IDCS
0AAHisuj-HFU9,30,90000,Mortgage,2,0AAHisuj-HFU9
0AC8yDzU-oxw1,24,105000,Mortgage,4,0AC8yDzU-oxw1
0AeYhoxq-8yCK,24,40944,Rent,0,0AeYhoxq-8yCK
0aHnowyt-xHJj,23,34662,Mortgage,1,0aHnowyt-xHJj
0AijkFqW-s2in,42,72000,Mortgage,20,0AijkFqW-s2in
0AMDksEM-Goyc,22,42000,Rent,6,0AMDksEM-Goyc
0arvB7pF-mh6r,24,75000,Mortgage,4,0arvB7pF-mh6r
0AwPRvZO-J1jg,36,122000,Rent,2,0AwPRvZO-J1jg
0AXpIdOt-3KR5,22,59959,Mortgage,4,0AXpIdOt-3KR5
0aYA31zb-E5nw,25,61680,Rent,1,0aYA31zb-E5nw
0AYDMI7I-XmGq,23,29730,Rent,2,0AYDMI7I-XmGq
0B51115i-H5g0,23,70000,Rent,1,0B51115i-H5g0
0bBF4FGf-Gvi6,22,25000,Rent,3,0bBF4FGf-Gvi6
0Bh1GxFW-iFmP,28,136092,Mortgage,2,0Bh1GxFW-iFmP
