loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,loan_id
LOi8hmOp-rTsT,Medical,C,3600,12.68,0,0.09,LOi8hmOp-rTsT
UDHcjCZ4-PsCF,Education,B,17950,11.99,0,0.16,UDHcjCZ4-PsCF
jxrxgH6w-KjPL,Education,B,3200,10.74,0,0.05,jxrxgH6w-KjPL
3fRKSr5F-GqEH,Debtconsolidation,C,4000,12.87,0,0.17,3fRKSr5F-GqEH
FrMoEnPL-XivD,Personal,B,15000,11.71,0,0.2,FrMoEnPL-XivD
zzGGi9ec-u2LF,Venture,B,5000,12.42,0,0.11,zzGGi9ec-u2LF
NFSGLMcu-Thyb,Personal,B,25000,10.59,0,0.2,NFSGLMcu-Thyb
AnQAUOSF-Glbq,Venture,A,3250,6.39,0,0.09,AnQAUOSF-Glbq
i39zWNuN-7y1E,Debtconsolidation,C,1000,10.59,1,0.03,i39zWNuN-7y1E
ybY2QACb-DbsB,Personal,C,6000,13.23,0,0.2,ybY2QACb-DbsB
ciDlYq8s-pFhB,Medical,A,10000,7.9,0,0.17,ciDlYq8s-pFhB
8aOcCdCb-PG35,Personal,B,6000,11.86,0,0.09,8aOcCdCb-PG35
k9lhNtMp-72zH,Venture,E,14400,17.99,1,0.21,k9lhNtMp-72zH
1DwABFbp-fs4M,Debtconsolidation,A,25000,7.66,0,0.36,1DwABFbp-fs4M
o2M0strt-O0lM,Education,A,7100,7.49,0,0.27,o2M0strt-O0lM
nxxvQ883-Saz6,Homeimprovement,C,7000,13.79,0,0.1,nxxvQ883-Saz6
PhEHSYZJ-ohhy,Medical,B,6000,9.25,0,0.07,PhEHSYZJ-ohhy
XecjoICi-lcfM,Education,D,10000,15.33,0,0.15,XecjoICi-lcfM
CYjDybeP-yfIb,Debtconsolidation,E,7500,16.32,1,0.15,CYjDybeP-yfIb
I2Win7ik-EgjH,Education,A,4800,6.99,0,0.16,I2Win7ik-EgjH
CXiuvUaE-YlFx,Personal,D,9000,15.37,1,0.31,CXiuvUaE-YlFx
2jgsNDsK-S45I,Venture,C,10000,12.98,0,0.22,2jgsNDsK-S45I
YPB9XyMP-IFrY,Education,C,15000,15.27,1,0.36,YPB9XyMP-IFrY
JSuqu0vn-3AgS,Debtconsolidation,A,4000,6.03,0,0.08,JSuqu0vn-3AgS
G7ebJZJb-6GDu,Debtconsolidation,B,3600,11.49,0,0.06,G7ebJZJb-6GDu
XSKWfz1r-h6Fs,Venture,B,12000,9.91,0,0.12,XSKWfz1r-h6Fs
