cb_id,cb_person_default_on_file,cb_person_cred_hist_length,cb_id
ifskDMYQ-tS16,Y,5,ifskDMYQ-tS16
1d9AQTCy-shub,N,4,1d9AQTCy-shub
GUCQvGYe-uuzi,N,9,GUCQvGYe-uuzi
yBuO0TTi-ZPoP,N,10,yBuO0TTi-ZPoP
YK0cuXUQ-Udaf,N,4,YK0cuXUQ-Udaf
2l0WvCkT-vCj9,N,2,2l0WvCkT-vCj9
lswq23Ne-M6Wg,N,2,lswq23Ne-M6Wg
hgBzbH7M-rjUA,N,2,hgBzbH7M-rjUA
afFXeeIe-wCs8,N,2,afFXeeIe-wCs8
0AvQtU25-8oDI,N,5,0AvQtU25-8oDI
tQ0AwsDM-Xw80,N,4,tQ0AwsDM-Xw80
DFcKUDsb-QJBZ,N,6,DFcKUDsb-QJBZ
6EM4uoS2-maX2,N,2,6EM4uoS2-maX2
fe8IgFsp-LuA2,N,5,fe8IgFsp-LuA2
EaSrtbuL-pGez,N,2,EaSrtbuL-pGez
DI9TxGHp-Nj6c,Y,2,DI9TxGHp-Nj6c
fg8vminY-K1qA,N,2,fg8vminY-K1qA
3Roc7YCU-XMfb,Y,6,3Roc7YCU-XMfb
UisbbB7t-EBba,N,7,UisbbB7t-EBba
AdUGJPWS-p00d,N,4,AdUGJPWS-p00d
H1Lk1JZE-HnyT,N,9,H1Lk1JZE-HnyT
2nr9qAH9-x2vh,Y,2,2nr9qAH9-x2vh
i1eaALtr-5NWX,N,3,i1eaALtr-5NWX
kEu3TG5n-lkRv,N,2,kEu3TG5n-lkRv
1zlTwsfS-0pan,N,2,1zlTwsfS-0pan
pjRss9tI-Aatc,N,4,pjRss9tI-Aatc
wMi6z70F-4hsC,N,10,wMi6z70F-4hsC
7TRruLfp-QSy1,Y,22,7TRruLfp-QSy1
Cc9F0hne-qo5M,N,4,Cc9F0hne-qo5M
XCZ0gSeA-xjsG,N,3,XCZ0gSeA-xjsG
YUtJHAoI-eTEy,N,2,YUtJHAoI-eTEy
UyJD1OAm-hwio,N,3,UyJD1OAm-hwio
oxpdMFeG-fNOh,N,2,oxpdMFeG-fNOh
0fjRt43G-M74x,N,4,0fjRt43G-M74x
6rafzTfN-8awI,N,3,6rafzTfN-8awI
msvyb3Ok-vs15,N,3,msvyb3Ok-vs15
tfv4kcWM-4woU,N,2,tfv4kcWM-4woU
