loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,person_id,loan_id,cb_id
xFgOFTuY-3UOf,Debtconsolidation,A,10000,6.62,0,0.2,ol1UhgJG-Ij8s,xFgOFTuY-3UOf,m04ZQw3E-d0pp
MjTNYsmN-6qBc,Debtconsolidation,C,25000,12.73,0,0.29,CZWcNgWA-kbk4,MjTNYsmN-6qBc,FxGG9RvP-Le3z
gp7W8s0h-4AkX,Education,A,8500,6.54,0,0.17,nf2cYR8g-MgSp,gp7W8s0h-4AkX,9MX3jpeX-FNdL
j06x2SYk-I5XL,Homeimprovement,C,15000,12.53,0,0.12,UEUPY5Ek-pj9X,j06x2SYk-I5XL,LmAWWoqo-c9w7
IzAKBBp8-4hek,Personal,A,7200,7.51,0,0.3,q7p8al6p-kovf,IzAKBBp8-4hek,8kFbSpx8-Ca6l
SEY04CqK-kmio,Medical,A,2000,8.49,0,0.06,tFQIRnJO-c11f,SEY04CqK-kmio,gBiXhx56-qOCl
g13h8IDL-9kCQ,Venture,A,9000,7.49,0,0.09,FGH7ijer-C7la,g13h8IDL-9kCQ,uiI6HpnL-rYLJ
Wcsvj4l2-rpwN,Education,C,5600,12.53,0,0.11,2YbxH3jQ-simk,Wcsvj4l2-rpwN,iDMvnFJD-B1oi
4qWQT7R6-qzXP,Homeimprovement,A,4000,5.99,1,0.09,wBIlOptl-jfvn,4qWQT7R6-qzXP,GmrY0YvB-GNOA
ob9Yrlfi-Ocpc,Personal,B,11000,11.49,0,0.17,LTD2XdcS-ZCv4,ob9Yrlfi-Ocpc,iBDB52Wo-4WAb
AjkBv8Tz-KMLM,Personal,B,10000,9.91,0,0.13,1wtXxdeC-mPn4,AjkBv8Tz-KMLM,JHm5rl9q-l9So
e6sluwHp-iUji,Personal,D,8000,15.05,0,0.1,4goiYSBI-Edo0,e6sluwHp-iUji,ug3KHwNU-0kP6
mD49akDA-s4O3,Personal,D,12000,14.96,0,0.21,T1iq7xpv-41Fa,mD49akDA-s4O3,2tjCLszN-Gt0F
yW5KGGze-1fxb,Venture,B,6000,10.74,0,0.21,dKYyqzGo-nmS5,yW5KGGze-1fxb,zsjxzXD7-NmNm
csAX8997-gIyh,Venture,A,4750,NULL,0,0.23,3JGqF9mW-H7lt,csAX8997-gIyh,lGovUUU3-6iNl
533GSTxK-EDjy,,D,NULL,13.06,1,0.41,44e5F8R0-1r3D,533GSTxK-EDjy,nEU2hiPO-xZGG
a7Fz1JOC-Ovfc,Debtconsolidation,C,1500,NULL,0,0.11,MY8FOgRk-mGxs,a7Fz1JOC-Ovfc,5eRFUbNG-LUv2
pw1D8xS2-dvfH,Personal,B,8400,11.89,0,0.28,JTDL4rdY-ZX45,pw1D8xS2-dvfH,dctkd8zk-uYR6
FXoAITi9-cjr4,Homeimprovement,A,10000,7.14,0,0.08,YyJ0DiE2-vQZA,FXoAITi9-cjr4,1xatBUPh-JITH
hyzrkwAS-zXNL,Medical,A,8000,7.9,0,0.11,jd9c8jdM-XRwb,hyzrkwAS-zXNL,1FOTi6fL-c7t7
FM8uNM7n-yUPf,,D,19200,NULL,NULL,0.26,83OBDo5r-A4tC,FM8uNM7n-yUPf,OubEnLZe-wDLj
ZjdyUQ9p-0x7B,Venture,B,10000,11.71,0,0.19,vuapM6Wp-q7r1,ZjdyUQ9p-0x7B,FSggdWZM-oovG
jGosfFS7-dLtg,Education,C,11000,14.22,0,0.18,qvOkUEew-AHlI,jGosfFS7-dLtg,lji8xcaf-DhkD
jBeKLq17-p2Bv,Homeimprovement,D,3325,16.89,0,0.06,QQSLLUXU-ulq6,jBeKLq17-p2Bv,mKBmvPiW-w8UW
iedonniw-Qeoe,Education,D,12000,12.49,0,0.16,szBdiNPd-vIat,iedonniw-Qeoe,udb7sqWc-T5qs
qUwNHuD1-JiLE,Medical,A,18000,8.94,1,0.24,oHi3aLmt-QE1P,qUwNHuD1-JiLE,95TIe3ew-tiTO
QxNrBuJy-auwo,Education,D,2300,13.17,0,0.06,yCgRdmks-33iq,QxNrBuJy-auwo,ueUNxXNT-5P5r
2ZvSRMsR-G4Xz,Medical,A,10000,6.91,0,0.08,JbWQsGG4-dLn1,2ZvSRMsR-G4Xz,YWt1hWI2-giER
c8RSpyWK-RIGc,Personal,D,2500,15.7,1,0.07,KXR4pYmf-NNXh,c8RSpyWK-RIGc,8Ez6Eku6-lUfm
BHHUzeUi-IwLJ,Venture,A,7500,7.51,0,0.16,o8CPxzyy-BZv5,BHHUzeUi-IwLJ,qjhafour-yFlT
kWJLMt5l-AoyM,Venture,D,8400,16.89,0,0.14,r7gg0Ukx-SkjG,kWJLMt5l-AoyM,3K230qMt-1qjk
L1PAn5bR-2DEl,Personal,A,12000,5.79,0,0.15,CIgpq6zv-ivZ4,L1PAn5bR-2DEl,jbs6YNEk-hd8H
mbIeTf5T-bvr0,Medical,D,20000,14.91,1,0.27,goAeymOr-t6En,mbIeTf5T-bvr0,oOT2gXuN-X9ZP
crUrpxPP-xEKt,Education,A,15000,8.49,0,0.18,g1MRqxkK-J9Qs,crUrpxPP-xEKt,NGiyMzn9-8c15
fNPrwmOr-4Tc7,Personal,B,6000,10.99,0,0.12,1PYXXwkQ-cBCH,fNPrwmOr-4Tc7,FJygP73l-4XAm
boG9fi69-Uqoy,Personal,A,6000,5.42,0,0.07,zivttnOy-kv9A,boG9fi69-Uqoy,7hgHU3an-zPZd
