person_id,person_age,person_income,person_home_ownership,person_emp_length,person_id,loan_id,cb_id
tad8vkTn-vp4l,33,48000,Rent,17,tad8vkTn-vp4l,TOt8c6L6-s7ik,RrDGKyTj-Klus
pNnqq0Ql-mXDg,22,51000,Rent,6,pNnqq0Ql-mXDg,c3aDZaHQ-Yz61,jgLTv4dz-RrbJ
WvikzddB-Fzo8,23,85000,Rent,2,WvikzddB-Fzo8,NRNKsI3j-vy1N,qMi6xZcZ-7pv3
wQjd4F7u-P45x,26,86004,Rent,0,wQjd4F7u-P45x,Is7djrQj-6wB4,i8Gd1QLO-WyJz
qlWL5n7v-00z9,27,50000,Rent,5,qlWL5n7v-00z9,M4zrvEh2-v0UC,w6OC79WL-49ZC
gR7jNhTp-3lDH,23,60000,Mortgage,NULL,gR7jNhTp-3lDH,PH1Dce6u-aHfn,0LveoXWk-tDjQ
ARMlOELv-qSQf,43,141000,Mortgage,24,ARMlOELv-qSQf,ehxwU4cN-isRw,Y8XigU3f-tZHJ
5EK5G34w-GMlO,22,80000,Rent,3,5EK5G34w-GMlO,xdkU5stS-BeEr,hsACMcoS-rLwl
wKyc0Yjf-bYUM,22,38000,Rent,0,wKyc0Yjf-bYUM,8ldCU7Hz-SKXz,TW0bxNyr-tC6y
T8rX7u9r-6CAP,22,60000,Rent,0,T8rX7u9r-6CAP,soThg0Og-tPqv,8fQaiGcL-Xff3
ry37CLpH-e3fW,39,134000,Mortgage,NULL,ry37CLpH-e3fW,Jl1nIwZT-bw5r,y5g3rvbO-1eie
5absUf2c-Bw64,23,30000,Rent,1,5absUf2c-Bw64,vbAjYSsR-rZpF,nMlvEczU-kKuP
4fXmWjJB-zGmt,21,27000,Rent,5,4fXmWjJB-zGmt,izxP0wrw-owKw,MtShFnZa-oaMO
24MDvPU5-tC7q,29,153000,Own,13,24MDvPU5-tC7q,WEqXmNea-3U6B,Z7ceC1oY-TzFR
